Issue Type,Summary,Story Point Estimate
Story,Create new Branch,0.5
Story,Planning,1
Story,Create static demo data,1
Story,Create API endpoints,0.5
Story,Import constants of endpoints in the vue-file,0.5
Story,Create dynamic values instead of static,1

